x,y
-84.9887939575728,-979459.3512669497
29.203802691936808,40154.76916715571
31.260200722625342,49208.56254556467
-15.993789040145812,-6554.738255972446
-52.19650779222476,-226820.21537027782
84.24431275591347,957265.6171743202
86.3663230520198,1031377.3643827958
-78.28542138118328,-765444.8271025758
-73.076057551549,-622545.0902842834
-64.90621098968683,-436178.76430283394
44.510009157347774,141576.51415025166
-85.11318229137453,-983764.3161450328
32.32912631217888,54407.94571882818
37.128432347322374,82297.38012926698
-51.43872305107633,-217076.3583179976
99.80297589031679,1590985.748569877
91.34763669901686,1220158.4056501884
71.74539814002661,591574.099084522
-65.29923168559502,-444153.58106394677
71.57101790791911,587271.6939414066
69.5846438796879,539775.4537494857
-53.77046422314689,-247964.13484352012
-99.656787807441,-1579351.4950306045
-34.41553767349179,-65017.40512147065
14.881891130338598,5404.94768368623
-34.572622668240484,-65914.46926114323
44.323867753335875,139817.57579513008
-48.36060829420275,-180384.63355912265
62.72172419203401,395450.39157862886
-72.43248803046522,-606236.1298369344
23.724472416812837,21601.753713277907
31.87052470160914,52133.70091476478
-6.328163136416554,-421.38121029300004
-71.73718430925267,-588938.1879550895
-9.378311224781989,-1337.470139184308
-63.98665937925963,-417895.8794544321
37.52652253754063,84966.81338443294
60.51554520322813,355227.0135709308
-45.672565753784646,-151948.9956034528
-4.966313190796612,-208.1453864988562
23.999261888492796,22355.50271972896
61.92462862196948,380586.2501041476
73.54415840172892,637133.8416998469
72.2761324619864,604780.4109705023
-93.14691381037976,-1289552.5181694254
84.85447403160451,978206.0880037138
93.3047169459883,1300205.0818111252
0.7848077212817328,14.77271873402668
-87.47250294563946,-1067886.1993699311
-48.85326909215528,-185952.29862218644
-64.55904349031532,-429215.77844204556
89.44021240259863,1145366.2512863295
99.79809863381416,1590753.8656688393
20.198732771932736,13380.31084338483
0.061445072295329695,7.156794326490987
25.06733038407831,25459.800128008992
-30.71098323231405,-46209.74091735973
-65.12003676739073,-440506.3818342419
-26.78923743271493,-30682.460632742514
70.68880596167593,565847.0448687351
68.13425210983486,506758.11694077094
42.33551222091785,121875.7278156514
-5.0887662201897665,-221.09416482768276
-22.99089585925984,-19405.84239539999
81.41983934095376,864258.4686356204
-64.47918428583816,-427624.6318883636
-5.069176271814668,-218.7455011817678
-71.96185325832889,-594497.9818562432
64.30616092403054,426142.71690231824
-44.596453414771254,-141458.65688103225
38.117158260206295,89030.12692773205
-16.144672969249175,-6738.32497618166
-59.07471636069097,-328833.0371406771
-42.11296500352291,-119118.26673271653
14.592015904354284,5102.8554456554575
-22.574025902834684,-18369.135823583278
90.27885449358205,1177859.9138801761
89.92278212198548,1163986.7864959848
-23.884098907217655,-21750.132741989033
89.78393136545564,1158610.2991528343
95.25142474591802,1383234.2588558448
-21.79419411668302,-16532.900014620176
64.87174844600194,437472.6779082121
-0.38573348472874525,8.503514277792512
-5.587747035958146,-291.773519692814
-70.80478977303774,-566272.2977025209
79.09754877146835,792462.5922177527
-50.69358732808909,-207781.71504982858
25.559127381211777,26972.638373862952
-79.65906648104965,-806461.4946335925
-31.114920913811783,-48053.59938871235
78.59621952046598,777505.4213468499
-1.4094352551908607,-2.6499920904089382
-32.96377757405355,-57132.6147311443
64.02936209532109,420670.45073830284
-22.39535325174713,-17935.672132766857
-25.57668738263603,-26701.924011006267
-18.270746454190466,-9755.840937157953
-22.38668471986218,-17915.77360590563
57.087373218919254,298295.1776421662
-98.89619471576214,-1543462.8133598058
46.33570647244305,159686.9026678655
28.49395509545083,37309.071723645524
69.15907589274448,529939.9365180114
-96.62945463403065,-1439714.4805600909
88.05595465921819,1093045.3723280448
99.51436626439181,1577233.5420374793
39.906529906976004,102125.7758657813
-1.5484827190527461,-4.488297316918386
